PremiumTable	IssueAge	MaxPolicyYear	Sex	RiskClass	PremiumBand	PremiumPer1000
WL19  	18	999	M	6	2	21.35
WL19  	18	999	M	7	2	25.15
WL19  	18	999	M	8	2	28.96
WL19  	19	999	F	N	1	14.0
WL19  	19	999	F	P	1	12.6
WL19  	19	999	F	R	1	11.2
WL19  	19	999	F	S	1	18.23
WL19  	19	999	F	T	1	16.41
WL19  	19	999	F	U	1	14.58
WL19  	19	999	F	1	1	15.01
WL19  	19	999	F	2	1	15.99
WL19  	19	999	F	3	1	16.97
WL19  	19	999	F	4	1	17.96
WL19  	19	999	F	5	1	20.08
WL19  	19	999	F	6	1	22.59
WL19  	19	999	F	7	1	25.1
WL19  	19	999	F	8	1	27.61
WL19  	19	999	M	N	1	15.1
WL19  	19	999	M	P	1	13.59
WL19  	19	999	M	R	1	12.08
WL19  	19	999	M	S	1	19.89
WL19  	19	999	M	T	1	17.91
WL19  	19	999	M	U	1	15.92
WL19  	19	999	M	1	1	16.33
WL19  	19	999	M	2	1	17.63
WL19  	19	999	M	3	1	18.93
WL19  	19	999	M	4	1	20.23
WL19  	19	999	M	5	1	22.22
WL19  	19	999	M	6	1	26.16
WL19  	19	999	M	7	1	30.1
WL19  	19	999	M	8	1	34.04
WL19  	19	999	F	N	2	10.27
WL19  	19	999	F	P	2	9.25
WL19  	19	999	F	R	2	8.22
WL19  	19	999	F	S	2	13.88
WL19  	19	999	F	T	2	12.49
WL19  	19	999	F	U	2	11.1
WL19  	19	999	F	1	2	11.28
WL19  	19	999	F	2	2	12.26
WL19  	19	999	F	3	2	13.24
WL19  	19	999	F	4	2	14.23
WL19  	19	999	F	5	2	15.73
WL19  	19	999	F	6	2	18.24
WL19  	19	999	F	7	2	20.75
WL19  	19	999	F	8	2	23.26
WL19  	19	999	M	N	2	11.37
WL19  	19	999	M	P	2	10.24
WL19  	19	999	M	R	2	9.1
WL19  	19	999	M	S	2	15.53
WL19  	19	999	M	T	2	13.98
WL19  	19	999	M	U	2	12.42
WL19  	19	999	M	1	2	12.6
WL19  	19	999	M	2	2	13.9
WL19  	19	999	M	3	2	15.2
WL19  	19	999	M	4	2	16.5
WL19  	19	999	M	5	2	17.86
WL19  	19	999	M	6	2	21.8
WL19  	19	999	M	7	2	25.74
WL19  	19	999	M	8	2	29.68
WL19  	20	999	F	N	1	14.13
WL19  	20	999	F	P	1	12.71
WL19  	20	999	F	R	1	11.3
WL19  	20	999	F	S	1	18.4
WL19  	20	999	F	T	1	16.56
WL19  	20	999	F	U	1	14.72
WL19  	20	999	F	1	1	15.17
WL19  	20	999	F	2	1	16.18
WL19  	20	999	F	3	1	17.18
WL19  	20	999	F	4	1	18.19
WL19  	20	999	F	5	1	20.31
WL19  	20	999	F	6	1	22.92
WL19  	20	999	F	7	1	25.52
WL19  	20	999	F	8	1	28.13
WL19  	20	999	M	N	1	15.26
WL19  	20	999	M	P	1	13.74
WL19  	20	999	M	R	1	12.21
WL19  	20	999	M	S	1	20.1
WL19  	20	999	M	T	1	18.09
WL19  	20	999	M	U	1	16.08
WL19  	20	999	M	1	1	16.53
WL19  	20	999	M	2	1	17.86
WL19  	20	999	M	3	1	19.2
WL19  	20	999	M	4	1	20.53
WL19  	20	999	M	5	1	22.5
WL19  	20	999	M	6	1	26.58
WL19  	20	999	M	7	1	30.65
WL19  	20	999	M	8	1	34.73
WL19  	20	999	F	N	2	10.43
WL19  	20	999	F	P	2	9.39
WL19  	20	999	F	R	2	8.34
WL19  	20	999	F	S	2	14.11
WL19  	20	999	F	T	2	12.7
WL19  	20	999	F	U	2	11.29
WL19  	20	999	F	1	2	11.47
WL19  	20	999	F	2	2	12.48
WL19  	20	999	F	3	2	13.48
WL19  	20	999	F	4	2	14.49
WL19  	20	999	F	5	2	16.02
WL19  	20	999	F	6	2	18.63
WL19  	20	999	F	7	2	21.23
WL19  	20	999	F	8	2	23.84
WL19  	20	999	M	N	2	11.56
WL19  	20	999	M	P	2	10.4
WL19  	20	999	M	R	2	9.25
WL19  	20	999	M	S	2	15.78
WL19  	20	999	M	T	2	14.21
WL19  	20	999	M	U	2	12.63
WL19  	20	999	M	1	2	12.83
WL19  	20	999	M	2	2	14.16
WL19  	20	999	M	3	2	15.5
WL19  	20	999	M	4	2	16.83
WL19  	20	999	M	5	2	18.18
WL19  	20	999	M	6	2	22.26
WL19  	20	999	M	7	2	26.33
WL19  	20	999	M	8	2	30.41
WL19  	21	999	F	N	1	14.25
WL19  	21	999	F	P	1	12.83
WL19  	21	999	F	R	1	11.4
WL19  	21	999	F	S	1	18.58
WL19  	21	999	F	T	1	16.72
WL19  	21	999	F	U	1	14.86
WL19  	21	999	F	1	1	15.32
WL19  	21	999	F	2	1	16.35
WL19  	21	999	F	3	1	17.39
WL19  	21	999	F	4	1	18.42
WL19  	21	999	F	5	1	20.55
WL19  	21	999	F	6	1	23.26
WL19  	21	999	F	7	1	25.96
WL19  	21	999	F	8	1	28.67
WL19  	21	999	M	N	1	15.42
WL19  	21	999	M	P	1	13.88
WL19  	21	999	M	R	1	12.34
WL19  	21	999	M	S	1	20.3
WL19  	21	999	M	T	1	18.27
WL19  	21	999	M	U	1	16.24
WL19  	21	999	M	1	1	16.73
WL19  	21	999	M	2	1	18.09
WL19  	21	999	M	3	1	19.46
WL19  	21	999	M	4	1	20.83
WL19  	21	999	M	5	1	22.78
WL19  	21	999	M	6	1	26.99
WL19  	21	999	M	7	1	31.2
WL19  	21	999	M	8	1	35.42
WL19  	21	999	F	N	2	10.59
WL19  	21	999	F	P	2	9.53
WL19  	21	999	F	R	2	8.47
WL19  	21	999	F	S	2	14.34
WL19  	21	999	F	T	2	12.9
WL19  	21	999	F	U	2	11.47
WL19  	21	999	F	1	2	11.66
WL19  	21	999	F	2	2	12.69
WL19  	21	999	F	3	2	13.73
WL19  	21	999	F	4	2	14.76
WL19  	21	999	F	5	2	16.31
WL19  	21	999	F	6	2	19.02
WL19  	21	999	F	7	2	21.72
WL19  	21	999	F	8	2	24.43
WL19  	21	999	M	N	2	11.74
WL19  	21	999	M	P	2	10.57
WL19  	21	999	M	R	2	9.4
WL19  	21	999	M	S	2	16.04
WL19  	21	999	M	T	2	14.44
WL19  	21	999	M	U	2	12.84
WL19  	21	999	M	1	2	13.05
WL19  	21	999	M	2	2	14.41
WL19  	21	999	M	3	2	15.78
WL19  	21	999	M	4	2	17.15
WL19  	21	999	M	5	2	18.52
WL19  	21	999	M	6	2	22.73
WL19  	21	999	M	7	2	26.94
WL19  	21	999	M	8	2	31.16
WL19  	22	999	F	N	1	14.39
WL19  	22	999	F	P	1	12.95
WL19  	22	999	F	R	1	11.51
WL19  	22	999	F	S	1	18.76
WL19  	22	999	F	T	1	16.88
WL19  	22	999	F	U	1	15.01
WL19  	22	999	F	1	1	15.49
WL19  	22	999	F	2	1	16.55
WL19  	22	999	F	3	1	17.61
WL19  	22	999	F	4	1	18.67
WL19  	22	999	F	5	1	20.79
WL19  	22	999	F	6	1	23.6
WL19  	22	999	F	7	1	26.41
WL19  	22	999	F	8	1	29.22
WL19  	22	999	M	N	1	15.58
WL19  	22	999	M	P	1	14.02
WL19  	22	999	M	R	1	12.46
WL19  	22	999	M	S	1	20.51
WL19  	22	999	M	T	1	18.46
WL19  	22	999	M	U	1	16.41
WL19  	22	999	M	1	1	16.93
WL19  	22	999	M	2	1	18.33
WL19  	22	999	M	3	1	19.73
WL19  	22	999	M	4	1	21.14
WL19  	22	999	M	5	1	23.06
WL19  	22	999	M	6	1	27.41
WL19  	22	999	M	7	1	31.77
WL19  	22	999	M	8	1	36.12
WL19  	22	999	F	N	2	10.75
WL19  	22	999	F	P	2	9.67
WL19  	22	999	F	R	2	8.6
WL19  	22	999	F	S	2	14.57
WL19  	22	999	F	T	2	13.12
WL19  	22	999	F	U	2	11.66
WL19  	22	999	F	1	2	11.85
WL19  	22	999	F	2	2	12.91
WL19  	22	999	F	3	2	13.97
WL19  	22	999	F	4	2	15.03
WL19  	22	999	F	5	2	16.6
WL19  	22	999	F	6	2	19.41
WL19  	22	999	F	7	2	22.22
WL19  	22	999	F	8	2	25.03
WL19  	22	999	M	N	2	11.93
WL19  	22	999	M	P	2	10.74
WL19  	22	999	M	R	2	9.55
WL19  	22	999	M	S	2	16.31
WL19  	22	999	M	T	2	14.68
WL19  	22	999	M	U	2	13.05
WL19  	22	999	M	1	2	13.28
WL19  	22	999	M	2	2	14.68
WL19  	22	999	M	3	2	16.08
WL19  	22	999	M	4	2	17.49
WL19  	22	999	M	5	2	18.86
WL19  	22	999	M	6	2	23.21
WL19  	22	999	M	7	2	27.57
WL19  	22	999	M	8	2	31.92
WL19  	23	999	F	N	1	14.52
WL19  	23	999	F	P	1	13.07
WL19  	23	999	F	R	1	11.61
WL19  	23	999	F	S	1	18.94
WL19  	23	999	F	T	1	17.04
WL19  	23	999	F	U	1	15.15
WL19  	23	999	F	1	1	15.65
WL19  	23	999	F	2	1	16.74
WL19  	23	999	F	3	1	17.82
WL19  	23	999	F	4	1	18.91
WL19  	23	999	F	5	1	21.03
WL19  	23	999	F	6	1	23.95
WL19  	23	999	F	7	1	26.86
WL19  	23	999	F	8	1	29.78
WL19  	23	999	M	N	1	15.74
WL19  	23	999	M	P	1	14.17
WL19  	23	999	M	R	1	12.59
WL19  	23	999	M	S	1	20.71
WL19  	23	999	M	T	1	18.64
WL19  	23	999	M	U	1	16.57
WL19  	23	999	M	1	1	17.13
WL19  	23	999	M	2	1	18.57
WL19  	23	999	M	3	1	20.0
WL19  	23	999	M	4	1	21.44
WL19  	23	999	M	5	1	23.33
WL19  	23	999	M	6	1	27.83
WL19  	23	999	M	7	1	32.33
WL19  	23	999	M	8	1	36.83
WL19  	23	999	F	N	2	10.91
WL19  	23	999	F	P	2	9.82
WL19  	23	999	F	R	2	8.73
WL19  	23	999	F	S	2	14.81
WL19  	23	999	F	T	2	13.33
WL19  	23	999	F	U	2	11.85
WL19  	23	999	F	1	2	12.04
WL19  	23	999	F	2	2	13.13
WL19  	23	999	F	3	2	14.21
WL19  	23	999	F	4	2	15.3
WL19  	23	999	F	5	2	16.9
WL19  	23	999	F	6	2	19.82
WL19  	23	999	F	7	2	22.73
WL19  	23	999	F	8	2	25.65
WL19  	23	999	M	N	2	12.13
WL19  	23	999	M	P	2	10.92
WL19  	23	999	M	R	2	9.7
WL19  	23	999	M	S	2	16.58
WL19  	23	999	M	T	2	14.92
WL19  	23	999	M	U	2	13.26
WL19  	23	999	M	1	2	13.52
WL19  	23	999	M	2	2	14.96
WL19  	23	999	M	3	2	16.39
WL19  	23	999	M	4	2	17.83
WL19  	23	999	M	5	2	19.2
WL19  	23	999	M	6	2	23.7
WL19  	23	999	M	7	2	28.2
WL19  	23	999	M	8	2	32.7
WL19  	24	999	F	N	1	14.65
WL19  	24	999	F	P	1	13.19
WL19  	24	999	F	R	1	11.72
WL19  	24	999	F	S	1	19.12
WL19  	24	999	F	T	1	17.21
WL19  	24	999	F	U	1	15.29
WL19  	24	999	F	1	1	15.81
WL19  	24	999	F	2	1	16.92
WL19  	24	999	F	3	1	18.04
WL19  	24	999	F	4	1	19.16
WL19  	24	999	F	5	1	21.28
WL19  	24	999	F	6	1	24.3
WL19  	24	999	F	7	1	27.32
WL19  	24	999	F	8	1	30.34
WL19  	24	999	M	N	1	15.9
WL19  	24	999	M	P	1	14.31
WL19  	24	999	M	R	1	12.72
WL19  	24	999	M	S	1	20.92
WL19  	24	999	M	T	1	18.83
WL19  	24	999	M	U	1	16.74
WL19  	24	999	M	1	1	17.33
WL19  	24	999	M	2	1	18.8
WL19  	24	999	M	3	1	20.28
WL19  	24	999	M	4	1	21.75
WL19  	24	999	M	5	1	23.62
WL19  	24	999	M	6	1	28.27
WL19  	24	999	M	7	1	32.92
WL19  	24	999	M	8	1	37.57
WL19  	24	999	F	N	2	11.08
WL19  	24	999	F	P	2	9.97
WL19  	24	999	F	R	2	8.86
WL19  	24	999	F	S	2	15.05
WL19  	24	999	F	T	2	13.55
WL19  	24	999	F	U	2	12.04
WL19  	24	999	F	1	2	12.24
WL19  	24	999	F	2	2	13.35
WL19  	24	999	F	3	2	14.47
WL19  	24	999	F	4	2	15.59
WL19  	24	999	F	5	2	17.21
WL19  	24	999	F	6	2	20.23
WL19  	24	999	F	7	2	23.25
WL19  	24	999	F	8	2	26.27
WL19  	24	999	M	N	2	12.33
WL19  	24	999	M	P	2	11.09
WL19  	24	999	M	R	2	9.86
WL19  	24	999	M	S	2	16.85
WL19  	24	999	M	T	2	15.16
WL19  	24	999	M	U	2	13.48
WL19  	24	999	M	1	2	13.76
WL19  	24	999	M	2	2	15.23
WL19  	24	999	M	3	2	16.71
WL19  	24	999	M	4	2	18.18
WL19  	24	999	M	5	2	19.55
WL19  	24	999	M	6	2	24.2
WL19  	24	999	M	7	2	28.85
WL19  	24	999	M	8	2	33.5
WL19  	25	999	F	N	1	14.78
WL19  	25	999	F	P	1	13.31
WL19  	25	999	F	R	1	11.83
WL19  	25	999	F	S	1	19.3
WL19  	25	999	F	T	1	17.37
WL19  	25	999	F	U	1	15.44
WL19  	25	999	F	1	1	15.97
WL19  	25	999	F	2	1	17.11
WL19  	25	999	F	3	1	18.26
WL19  	25	999	F	4	1	19.4
WL19  	25	999	F	5	1	21.52
WL19  	25	999	F	6	1	24.65
WL19  	25	999	F	7	1	27.78
WL19  	25	999	F	8	1	30.91
WL19  	25	999	M	N	1	16.07
WL19  	25	999	M	P	1	14.46
WL19  	25	999	M	R	1	12.85
WL19  	25	999	M	S	1	21.14
WL19  	25	999	M	T	1	19.02
WL19  	25	999	M	U	1	16.91
WL19  	25	999	M	1	1	17.54
WL19  	25	999	M	2	1	19.05
WL19  	25	999	M	3	1	20.56
WL19  	25	999	M	4	1	22.08
WL19  	25	999	M	5	1	23.92
WL19  	25	999	M	6	1	28.72
WL19  	25	999	M	7	1	33.52
WL19  	25	999	M	8	1	38.32
WL19  	25	999	F	N	2	11.25
WL19  	25	999	F	P	2	10.12
WL19  	25	999	F	R	2	9.0
WL19  	25	999	F	S	2	15.3
WL19  	25	999	F	T	2	13.77
WL19  	25	999	F	U	2	12.24
WL19  	25	999	F	1	2	12.44
WL19  	25	999	F	2	2	13.58
WL19  	25	999	F	3	2	14.73
WL19  	25	999	F	4	2	15.87
WL19  	25	999	F	5	2	17.52
WL19  	25	999	F	6	2	20.65
WL19  	25	999	F	7	2	23.78
WL19  	25	999	F	8	2	26.91
WL19  	25	999	M	N	2	12.53
WL19  	25	999	M	P	2	11.27
WL19  	25	999	M	R	2	10.02
WL19  	25	999	M	S	2	17.12
WL19  	25	999	M	T	2	15.41
WL19  	25	999	M	U	2	13.7
WL19  	25	999	M	1	2	14.0
WL19  	25	999	M	2	2	15.51
WL19  	25	999	M	3	2	17.02
WL19  	25	999	M	4	2	18.54
WL19  	25	999	M	5	2	19.9
WL19  	25	999	M	6	2	24.7
WL19  	25	999	M	7	2	29.5
WL19  	25	999	M	8	2	34.3
WL19  	26	999	F	N	1	15.11
WL19  	26	999	F	P	1	13.6
WL19  	26	999	F	R	1	12.09
WL19  	26	999	F	S	1	19.78
WL19  	26	999	F	T	1	17.81
WL19  	26	999	F	U	1	15.83
WL19  	26	999	F	1	1	16.34
WL19  	26	999	F	2	1	17.53
WL19  	26	999	F	3	1	18.71
WL19  	26	999	F	4	1	19.9
WL19  	26	999	F	5	1	22.09
WL19  	26	999	F	6	1	25.39
WL19  	26	999	F	7	1	28.68
WL19  	26	999	F	8	1	31.98
WL19  	26	999	M	N	1	16.42
WL19  	26	999	M	P	1	14.78
WL19  	26	999	M	R	1	13.14
WL19  	26	999	M	S	1	21.68
WL19  	26	999	M	T	1	19.51
WL19  	26	999	M	U	1	17.34
WL19  	26	999	M	1	1	17.93
WL19  	26	999	M	2	1	19.49
WL19  	26	999	M	3	1	21.05
WL19  	26	999	M	4	1	22.6
WL19  	26	999	M	5	1	24.56
WL19  	26	999	M	6	1	29.55
WL19  	26	999	M	7	1	34.55
WL19  	26	999	M	8	1	39.54
WL19  	26	999	F	N	2	11.56
WL19  	26	999	F	P	2	10.41
WL19  	26	999	F	R	2	9.25
WL19  	26	999	F	S	2	15.77
WL19  	26	999	F	T	2	14.2
WL19  	26	999	F	U	2	12.62
WL19  	26	999	F	1	2	12.79
WL19  	26	999	F	2	2	13.98
WL19  	26	999	F	3	2	15.16
WL19  	26	999	F	4	2	16.35
WL19  	26	999	F	5	2	18.08
WL19  	26	999	F	6	2	21.38
WL19  	26	999	F	7	2	24.67
WL19  	26	999	F	8	2	27.97
WL19  	26	999	M	N	2	12.87
WL19  	26	999	M	P	2	11.59
WL19  	26	999	M	R	2	10.3
WL19  	26	999	M	S	2	17.66
WL19  	26	999	M	T	2	15.89
WL19  	26	999	M	U	2	14.13
WL19  	26	999	M	1	2	14.38
WL19  	26	999	M	2	2	15.94
WL19  	26	999	M	3	2	17.5
WL19  	26	999	M	4	2	19.05
WL19  	26	999	M	5	2	20.54
WL19  	26	999	M	6	2	25.53
WL19  	26	999	M	7	2	30.53
WL19  	26	999	M	8	2	35.52
WL19  	27	999	F	N	1	15.43
WL19  	27	999	F	P	1	13.89
WL19  	27	999	F	R	1	12.35
WL19  	27	999	F	S	1	20.28
WL19  	27	999	F	T	1	18.25
WL19  	27	999	F	U	1	16.23
WL19  	27	999	F	1	1	16.7
WL19  	27	999	F	2	1	17.93
WL19  	27	999	F	3	1	19.16
WL19  	27	999	F	4	1	20.39
WL19  	27	999	F	5	1	22.68
WL19  	27	999	F	6	1	26.15
WL19  	27	999	F	7	1	29.63
WL19  	27	999	F	8	1	33.1
WL19  	27	999	M	N	1	16.78
WL19  	27	999	M	P	1	15.1
WL19  	27	999	M	R	1	13.42
WL19  	27	999	M	S	1	22.23
WL19  	27	999	M	T	1	20.01
WL19  	27	999	M	U	1	17.79
WL19  	27	999	M	1	1	18.34
WL19  	27	999	M	2	1	19.94
WL19  	27	999	M	3	1	21.54
WL19  	27	999	M	4	1	23.14
WL19  	27	999	M	5	1	25.22
WL19  	27	999	M	6	1	30.41
WL19  	27	999	M	7	1	35.6
WL19  	27	999	M	8	1	40.79
WL19  	27	999	F	N	2	11.89
WL19  	27	999	F	P	2	10.7
WL19  	27	999	F	R	2	9.51
WL19  	27	999	F	S	2	16.27
WL19  	27	999	F	T	2	14.64
WL19  	27	999	F	U	2	13.01
WL19  	27	999	F	1	2	13.16
WL19  	27	999	F	2	2	14.39
WL19  	27	999	F	3	2	15.62
WL19  	27	999	F	4	2	16.85
WL19  	27	999	F	5	2	18.67
WL19  	27	999	F	6	2	22.14
WL19  	27	999	F	7	2	25.62
WL19  	27	999	F	8	2	29.09
WL19  	27	999	M	N	2	13.23
WL19  	27	999	M	P	2	11.91
WL19  	27	999	M	R	2	10.58
WL19  	27	999	M	S	2	18.2
WL19  	27	999	M	T	2	16.38
WL19  	27	999	M	U	2	14.56
WL19  	27	999	M	1	2	14.79
WL19  	27	999	M	2	2	16.39
WL19  	27	999	M	3	2	17.99
WL19  	27	999	M	4	2	19.59
WL19  	27	999	M	5	2	21.19
WL19  	27	999	M	6	2	26.38
WL19  	27	999	M	7	2	31.57
WL19  	27	999	M	8	2	36.76
WL19  	28	999	F	N	1	15.77
WL19  	28	999	F	P	1	14.19
WL19  	28	999	F	R	1	12.62
WL19  	28	999	F	S	1	20.79
WL19  	28	999	F	T	1	18.71
WL19  	28	999	F	U	1	16.64
WL19  	28	999	F	1	1	17.08
WL19  	28	999	F	2	1	18.35
WL19  	28	999	F	3	1	19.63
WL19  	28	999	F	4	1	20.9
WL19  	28	999	F	5	1	23.29
WL19  	28	999	F	6	1	26.94
WL19  	28	999	F	7	1	30.59
WL19  	28	999	F	8	1	34.25
WL19  	28	999	M	N	1	17.15
WL19  	28	999	M	P	1	15.43
WL19  	28	999	M	R	1	13.72
WL19  	28	999	M	S	1	22.8
WL19  	28	999	M	T	1	20.52
WL19  	28	999	M	U	1	18.24
WL19  	28	999	M	1	1	18.76
WL19  	28	999	M	2	1	20.4
WL19  	28	999	M	3	1	22.05
WL19  	28	999	M	4	1	23.7
WL19  	28	999	M	5	1	25.9
WL19  	28	999	M	6	1	31.3
WL19  	28	999	M	7	1	36.69
WL19  	28	999	M	8	1	42.09
WL19  	28	999	F	N	2	12.22
WL19  	28	999	F	P	2	11.0
WL19  	28	999	F	R	2	9.78
WL19  	28	999	F	S	2	16.77
WL19  	28	999	F	T	2	15.09
WL19  	28	999	F	U	2	13.42
WL19  	28	999	F	1	2	13.53
WL19  	28	999	F	2	2	14.8
WL19  	28	999	F	3	2	16.08
WL19  	28	999	F	4	2	17.35
WL19  	28	999	F	5	2	19.27
WL19  	28	999	F	6	2	22.92
WL19  	28	999	F	7	2	26.57
WL19  	28	999	F	8	2	30.23
WL19  	28	999	M	N	2	13.59
WL19  	28	999	M	P	2	12.24
WL19  	28	999	M	R	2	10.88
WL19  	28	999	M	S	2	18.77
WL19  	28	999	M	T	2	16.89
WL19  	28	999	M	U	2	15.01
WL19  	28	999	M	1	2	15.2
WL19  	28	999	M	2	2	16.84
WL19  	28	999	M	3	2	18.49
WL19  	28	999	M	4	2	20.14
WL19  	28	999	M	5	2	21.87
WL19  	28	999	M	6	2	27.27
WL19  	28	999	M	7	2	32.66
WL19  	28	999	M	8	2	38.06
WL19  	29	999	F	N	1	16.11
WL19  	29	999	F	P	1	14.5
WL19  	29	999	F	R	1	12.89
WL19  	29	999	F	S	1	21.32
WL19  	29	999	F	T	1	19.19
WL19  	29	999	F	U	1	17.05
WL19  	29	999	F	1	1	17.46
WL19  	29	999	F	2	1	18.78
WL19  	29	999	F	3	1	20.1
WL19  	29	999	F	4	1	21.42
WL19  	29	999	F	5	1	23.92
WL19  	29	999	F	6	1	27.76
WL19  	29	999	F	7	1	31.6
WL19  	29	999	F	8	1	35.44
WL19  	29	999	M	N	1	17.52
WL19  	29	999	M	P	1	15.77
WL19  	29	999	M	R	1	14.02
WL19  	29	999	M	S	1	23.38
WL19  	29	999	M	T	1	21.05
WL19  	29	999	M	U	1	18.71
WL19  	29	999	M	1	1	19.17
WL19  	29	999	M	2	1	20.87
WL19  	29	999	M	3	1	22.57
WL19  	29	999	M	4	1	24.26
WL19  	29	999	M	5	1	26.59
WL19  	29	999	M	6	1	32.2
WL19  	29	999	M	7	1	37.81
WL19  	29	999	M	8	1	43.43
WL19  	29	999	F	N	2	12.56
WL19  	29	999	F	P	2	11.31
WL19  	29	999	F	R	2	10.05
WL19  	29	999	F	S	2	17.29
WL19  	29	999	F	T	2	15.56
WL19  	29	999	F	U	2	13.84
WL19  	29	999	F	1	2	13.91
WL19  	29	999	F	2	2	15.23
WL19  	29	999	F	3	2	16.55
WL19  	29	999	F	4	2	17.87
WL19  	29	999	F	5	2	19.89
WL19  	29	999	F	6	2	23.73
WL19  	29	999	F	7	2	27.57
WL19  	29	999	F	8	2	31.41
WL19  	29	999	M	N	2	13.97
WL19  	29	999	M	P	2	12.57
WL19  	29	999	M	R	2	11.18
WL19  	29	999	M	S	2	19.35
WL19  	29	999	M	T	2	17.41
WL19  	29	999	M	U	2	15.48
WL19  	29	999	M	1	2	15.62
WL19  	29	999	M	2	2	17.32
WL19  	29	999	M	3	2	19.02
WL19  	29	999	M	4	2	20.71
WL19  	29	999	M	5	2	22.56
WL19  	29	999	M	6	2	28.17
WL19  	29	999	M	7	2	33.78
WL19  	29	999	M	8	2	39.4
WL19  	30	999	F	N	1	16.46
WL19  	30	999	F	P	1	14.82
WL19  	30	999	F	R	1	13.17
WL19  	30	999	F	S	1	21.85
WL19  	30	999	F	T	1	19.67
WL19  	30	999	F	U	1	17.48
WL19  	30	999	F	1	1	17.86
WL19  	30	999	F	2	1	19.23
WL19  	30	999	F	3	1	20.59
WL19  	30	999	F	4	1	21.96
WL19  	30	999	F	5	1	24.55
WL19  	30	999	F	6	1	28.59
WL19  	30	999	F	7	1	32.63
WL19  	30	999	F	8	1	36.67
WL19  	30	999	M	N	1	17.91
WL19  	30	999	M	P	1	16.12
WL19  	30	999	M	R	1	14.33
WL19  	30	999	M	S	1	23.98
WL19  	30	999	M	T	1	21.59
WL19  	30	999	M	U	1	19.19
WL19  	30	999	M	1	1	19.61
WL19  	30	999	M	2	1	21.36
WL19  	30	999	M	3	1	23.11
WL19  	30	999	M	4	1	24.85
WL19  	30	999	M	5	1	27.31
WL19  	30	999	M	6	1	33.14
WL19  	30	999	M	7	1	38.98
WL19  	30	999	M	8	1	44.81
WL19  	30	999	F	N	2	12.91
WL19  	30	999	F	P	2	11.62
WL19  	30	999	F	R	2	10.33
WL19  	30	999	F	S	2	17.83
WL19  	30	999	F	T	2	16.05
WL19  	30	999	F	U	2	14.27
WL19  	30	999	F	1	2	14.31
WL19  	30	999	F	2	2	15.68
WL19  	30	999	F	3	2	17.04
WL19  	30	999	F	4	2	18.41
WL19  	30	999	F	5	2	20.53
WL19  	30	999	F	6	2	24.57
WL19  	30	999	F	7	2	28.61
WL19  	30	999	F	8	2	32.65
WL19  	30	999	M	N	2	14.36
WL19  	30	999	M	P	2	12.92
WL19  	30	999	M	R	2	11.49
WL19  	30	999	M	S	2	19.95
WL19  	30	999	M	T	2	17.95
WL19  	30	999	M	U	2	15.96
WL19  	30	999	M	1	2	16.06
WL19  	30	999	M	2	2	17.81
WL19  	30	999	M	3	2	19.56
WL19  	30	999	M	4	2	21.3
WL19  	30	999	M	5	2	23.28
WL19  	30	999	M	6	2	29.11
WL19  	30	999	M	7	2	34.95
WL19  	30	999	M	8	2	40.78
WL19  	31	999	F	N	1	16.82
WL19  	31	999	F	P	1	15.14
WL19  	31	999	F	R	1	13.46
