PlanCode	PremiumTable	PremiumLookupDate	UnisexRates	ClassDistinctRates	PremiumLookupType	ModalProfileTable	CashValueTable	CashValueLookupType	UnisexCashValues	ClassDistinctCashValues	BandedCashValues	BandTable	COIDeductionType	COIBandTable	COIRateAccessMethod	CurrentCOITable	UnisexCurrentCOI	ClassDistinctCurrentCOI	GuaranteedCOITable	UnisexGuaranteedCOI	ClassDistinctGuaranteedCOI
10T18 	10T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T17M	30T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P11H	15T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T1M 	15T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P11 	30T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T13H	25T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T3MH	20T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T11H	20T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T11H	10T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T18 	30T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T13H	20T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
W19GNC	WL19  	Effective Date	N	Y	Issue Age and Policy Year	29	WL19  	Issue Age and Policy Year	N	Y	N	WL19  	N/A	      		      	 	 	      	 	 
30P1M 	30T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P18M	20T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P15M	30T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
ULL20 	LTUL19	Effective Date	N	Y	Issue Age and Policy Year	24	      		 	 	 	LTUL19	Monthly	LTUL19	Issue Age and Policy Year	LTUL19	N	Y	LTUL19	N	Y
30T3MH	30T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P15 	20T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T15M	10T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T11 	10T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P13H	30T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P18 	15T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T1MH	30T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T15M	30T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P15 	15T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T13 	25T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T13H	30T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
ULA20M	ACC19M	Effective Date	Y	Y	Issue Age and Policy Year	24	      		 	 	 	UL2019	Monthly	UL2019	Issue Age and Policy Year	ACC19M	Y	Y	LTL19M	Y	Y
20P15M	20T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T13 	20T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T13H	15T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P3M 	20T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P13 	30T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P18M	30T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T17 	30T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P1M 	15T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T11H	25T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P3MH	25T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P1MH	25T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T17M	20T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P3M 	25T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T1M 	20T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P15 	25T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T1MH	25T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T15M	25T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P18M	15T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T11H	15T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T18M	25T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T3MH	15T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T1MH	15T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P17M	30T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P13H	20T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P1MH	30T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P1M 	25T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T1M 	10T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
